"term","hr","lo","hi","p","stratum","def","domain","n_pt","events"
"ef_catlt40",0.753792626559885,0.608855567237599,0.933231712791935,0.00947922423038573,"progression","first","D3 prior-only AF and dialysis",6945,1606
"ef_cat40to49",0.918551016961,0.75012287569565,1.12479701405936,0.411041253608442,"progression","first","D3 prior-only AF and dialysis",6945,1606
"zE",1.25022412146463,1.19123994932496,1.31212889122611,1.33955229839466e-19,"progression","first","D3 prior-only AF and dialysis",6945,1606
"zla",1.10089177717683,1.03721736409817,1.16847514031866,0.00156623082839331,"progression","first","D3 prior-only AF and dialysis",6945,1606
"zivs",1.09733276678161,1.037052685283,1.16111670905514,0.00127240326570565,"progression","first","D3 prior-only AF and dialysis",6945,1606
"zbmi",1.0428653886198,0.982969049931735,1.1064114570613,0.164286829069271,"progression","first","D3 prior-only AF and dialysis",6945,1606
"eglt30",2.12039520475069,1.70305646893294,2.64000396131711,1.80221690397114e-11,"progression","first","D3 prior-only AF and dialysis",6945,1606
"eg30to60",1.16405183915874,1.00964627141929,1.34207070595532,0.0364186679125666,"progression","first","D3 prior-only AF and dialysis",6945,1606
"af_prior",0.941607474826099,0.812233384488682,1.09158851825148,0.424941643924581,"progression","first","D3 prior-only AF and dialysis",6945,1606
"esrd_prior",1.16971505649666,0.795723555157479,1.71948323576295,0.425157375078906,"progression","first","D3 prior-only AF and dialysis",6945,1606
"age10",1.28818466711817,1.14368137465584,1.45094584328412,3.02526906311959e-05,"progression","first","D5 prior-only coded diagnoses",1723,382
"male",0.734030062404027,0.581558547618691,0.926476164298652,0.00924534140972108,"progression","first","D5 prior-only coded diagnoses",1723,382
"av_catmild",1.15332058756413,0.846515301277907,1.57132230887174,0.365990988976122,"progression","first","D5 prior-only coded diagnoses",1723,382
"av_catmod",2.42544739405579,1.67609217588598,3.5098278877308,2.6119195020176e-06,"progression","first","D5 prior-only coded diagnoses",1723,382
"av_catsev",5.08668424487887,2.52795319976869,10.235298900892,5.12368333954525e-06,"progression","first","D5 prior-only coded diagnoses",1723,382
"ef_catlt40",0.45188248295541,0.250591465397255,0.814863259920838,0.0082759362181993,"progression","first","D5 prior-only coded diagnoses",1723,382
"ef_cat40to49",0.528487192092074,0.314531873934461,0.887982221679583,0.0160086347911318,"progression","first","D5 prior-only coded diagnoses",1723,382
"zE",1.17410038698082,1.05767804079172,1.30333775075508,0.00259103064102391,"progression","first","D5 prior-only coded diagnoses",1723,382
"zla",1.23241659065855,1.0761330504159,1.41139671562309,0.00252318167551751,"progression","first","D5 prior-only coded diagnoses",1723,382
"zivs",1.01479598253082,0.898009053146992,1.1467711628873,0.813853649445637,"progression","first","D5 prior-only coded diagnoses",1723,382
"zbmi",0.928355862423469,0.815496747579595,1.05683389891375,0.260959366169926,"progression","first","D5 prior-only coded diagnoses",1723,382
"eglt30",1.9438327988915,1.25510279440367,3.01049919328848,0.00290075306702007,"progression","first","D5 prior-only coded diagnoses",1723,382
